komentar,labels
"Checkout sore langsung dikerjakan oleh adminnya, malamnya sudah jadi, untuk desainnya sebelum ada revisi, bagus banget, meskipun terdapat beberapa revisi dari saya dan besoknya udah jadi dan acc dari saya, untuk respon chat, adminnya cepat nggk nunggu 2 jam atau lebih. ~Sekian terima kasi",1
"pelayanan nya gercep , penjual fast respon banget ?? next order lagi di tempat ini harga nya murah",1
"Hasil joss, penjual sabar, revisi tidak dibatasi. Next kl ada lg bakal kesini lagi. Makasihh",1
Terima kasih pelayanannya...sampai revisi 5x lebih pun tetap d layani...terima kasih hasilnya bagus...sangat membantu sekali.,1
"Desainnya cepat, admin nya ramah. Hasilnya bagus + admin sabar banget. Thanks ya",1
Desain asal2an Tidak rekomen sama sekali,1
"Gila penipuan ini! Saya bayar 2x untuk 2 logo, sebelumnya sudah chat dan sudah deal. Setah itu baru saya klik di shopee, pada saat pengerjaan, baru 1 logo yang oke. Dan file yang dikirim gak high resolution, sudah minta yg highres tapi ga dikirim2. Di tagih logo ke 2 ga dibikin2. Di chat ga respon!!",1
maaf poto emanh g sesuai dg aslinya. karena semua chatt n file udah aku hapus saking kecewanya dengan pelayanan seller. sloganya REVISI SAMPAI PUAS tp apa g direvisi sesuai permintaan customer. semoga kedepanya pelayanan lbih baik lg.,1
"Ga sesuai ekspektasi, beda banget dengan dicontoh. Udah dijelasin detailnya juga tapi beda banget. Mungkin bisa diperbaiki lagi ya kedepannya ??",1
Hasil bagus,1
Progress sesuai,1
Komunikasi lancar,1
 Sip,1
Recomended,1
project selesai semua dengan baik,1
diselesaikan dengan baik,1
"Terima kasih mas, sudah di bantu. good job",1
Worker dapat menyelesaikan pekerjaan dengan waktu yang cukup sempit,1
"Terimakasih banyak mas Aad, minta tolong supportnya klo ada error di API ya..sukses selalu",1
Pekerjaan cepat dan bagus,1
"makasih mas, kl ada error minta tolong supportnya yah, sama prepare phase 2 ya mas ",1
"makasih banyak, recommended worker",1
Bagus project sesuai,1
Mantap sesuai permintaan,1
"Makasih banyak atas effort dan waktu yang sudah dikeluarkan bahkan harus ada adjustment scope di tengah perjalanan tapi tetap bisa mencari jalan tengah bersama, kooperatif dan deliver dengan baik. Matur nuwun!",1
"Cepat dan tepat, mantap mas. ",1
Komunikasi sangat baik dan cepat,1
sesuai dengan permintaan,1
sudah di kerjakan,1
"overall Nice sih, bisa dikerjain semua.",1
"pekerjaan dilakukan dengan cukup baik, meskipun ada yang blm mampu dikerjakan. programmer ckup responsif d dlm komunikasi, trimakasih",1
Terima kasih banyak,1
"Ini project ke-2 dengan Pak Sony dan seperti project sebelumnya, hasilnya memuaskan. Komunikasi lancar, perbaikan dilakukan dengan baik dan cepat. Selanjutnya pasti akan terus pakai jasa Pak Sony. Terima kasih.",1
